Trx Number/ Cross Ref,Transaction Source,Transaction Class,Transaction Type,Complete,Status,Bill-to Customer,__amount_target_col__,Currency,Transaction Date,Operating Company (OpCo),Accounting Date,Batch Name,Bill-to Customer Site,Due Date,Primary Salesperson,Po Number,Bill-to Customer Account Number,Document Number
246044,Conversion,Invoice,Invoice,Yes,Complete,HOLMBERG COMPANY,80.18,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3333,2026-03-29 00:00:00,Dorse House Account,4423-237000-1,3828,1.510000006e+11
243240-1,Conversion,Invoice,Invoice,Yes,Complete,NARROWS HEATING & AIR COND,7750,USD,2026-01-22 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3607,2026-02-21 00:00:00,Dorse House Account,C25-5629,4126,1.51000001e+11
243726,Conversion,Invoice,Invoice,Yes,Complete,COOLSYS LIGHT COMMERCIAL SOLUTIONS,39,USD,2026-01-07 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3736,2026-02-06 00:00:00,Dorse House Account,OR8231417,3742,1.510000014e+11
244324,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,332,USD,2026-01-30 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-03-01 00:00:00,Dorse House Account,687417,3377,1.51000001e+11
244009-1,Conversion,Invoice,Invoice,Yes,Complete,CRESCENT MECHANICAL INC,7450,USD,2026-02-23 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2831,2026-03-25 00:00:00,Dorse House Account,2402-302,4374,1.510000015e+11
242935,Conversion,Invoice,Invoice,Yes,Complete,APOLLO MECHANICAL CONTRACTORS,63000,USD,2026-02-11 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2169,2026-03-13 00:00:00,Dorse House Account,S325-W-00002,3049,1.510000009e+11
244882,Conversion,Invoice,Invoice,Yes,Complete,JH KELLY LLC,305.75,USD,2026-02-02 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3951,2026-03-04 00:00:00,Dorse House Account,25259.0064,3686,1.51e+11
245244,Conversion,Invoice,Invoice,Yes,Complete,TRS MECHANICAL INC,78,USD,2026-02-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4972,2026-03-11 00:00:00,Dorse House Account,23671,3498,1.510000002e+11
243642,Conversion,Invoice,Invoice,Yes,Complete,TRIMBLE MECHANICAL,494.41,USD,2026-01-07 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2819,2026-02-06 00:00:00,Dorse House Account,2648,4006,1.510000001e+11
243621,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,1815,USD,2026-01-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-02-08 00:00:00,Dorse House Account,PO036749-1,4269,1.510000008e+11
244357-2,Conversion,Invoice,Invoice,Yes,Complete,ATLAS MECHANICAL INC,245,USD,2026-02-12 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,34328,2026-03-14 00:00:00,Dorse House Account,R260057,3576,1.51000001e+11
244605,Conversion,Invoice,Invoice,Yes,Complete,HOLMBERG COMPANY,110,USD,2026-02-13 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3333,2026-03-15 00:00:00,Dorse House Account,9500-1035-237000-1,3828,1.510000006e+11
245740,Conversion,Invoice,Invoice,Yes,Complete,GB SYSTEMS,116.39,USD,2026-02-25 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4762,2026-03-27 00:00:00,Dorse House Account,26092,3739,1.510000013e+11
243275-1,Conversion,Invoice,Invoice,Yes,Complete,APOLLO MECHANICAL CONTRACTORS,243,USD,2026-01-14 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2169,2026-02-13 00:00:00,Dorse House Account,M2990/W-00016,3049,1.510000003e+11
241527,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,248.55,USD,2026-02-04 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-03-06 00:00:00,Dorse House Account,PO034157,4269,1.510000016e+11
245075,Conversion,Invoice,Invoice,Yes,Complete,HOLADAY-PARKS INC,325,USD,2026-02-23 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4512,2026-03-25 00:00:00,Dorse House Account,1022766-90063,3528,1.510000012e+11
239077-2,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,5700,USD,2026-01-14 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-02-13 00:00:00,Dorse House Account,PO030127-3,4269,1.510000001e+11
243142,Conversion,Invoice,Invoice,Yes,Complete,AMS,200.32,USD,2025-12-22 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2232,2026-01-21 00:00:00,Dorse House Account,Polaris at Totam Lake,3112,1.510000013e+11
245849,Conversion,Invoice,Invoice,Yes,Complete,ACCO ENGINEERED SYSTEMS (401856),29.3,USD,2026-02-25 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,5060,2026-03-27 00:00:00,Dorse House Account,60940811,3666,1.510000014e+11
242120,Conversion,Invoice,Invoice,Yes,Complete,TOTAL ENERGY MANAGEMENT,13740,USD,2025-12-31 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2868,2026-01-30 00:00:00,Dorse House Account,23492-214075,4018,1.510000016e+11
245843,Conversion,Invoice,Invoice,Yes,Complete,CAPITAL HEATING & COOLING,675,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3758,2026-03-29 00:00:00,Dorse House Account,13527,3785,1.510000007e+11
239939,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,1704,USD,2026-01-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-02-08 00:00:00,Dorse House Account,PO030718,4269,1.510000015e+11
246001,Conversion,Invoice,Invoice,Yes,Complete,VITAL MECHANICAL SERVICE,231.24,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2472,2026-03-29 00:00:00,Dorse House Account,306029,4042,1.51000001e+11
243137,Conversion,Invoice,Invoice,Yes,Complete,DB SOLUTIONS,600,USD,2025-12-29 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2528,2026-01-28 00:00:00,Dorse House Account,2025-25-02,3602,1.510000013e+11
