Branch,Customer,Start Date,Finish Date,Project Name,Project Type,Project Unit,Quote Number,Contract Type,Project Number,Project Status,Distribution To,Project Manager,Cost Per Trip/Day,Product Estimated,Project Description,Project Ledger Currency,Operating Company (OpCo)
Richmond-C&J-Services,NORFOLK CHRISTIAN,2026-07-01,2027-09-01,Norfolk Christian SA 26-27,CJBS_Billable Project Type,CJBS PU,0126-7353,Service Contract,0126-7353,Active,CONTRACTOR,,91.35,Tridium,"255 Thole St. Norfolk, VA 23505",USD,CJBS
Richmond-C&J-Services,NORFOLK CHRISTIAN,2025-08-01,2026-10-01,Norfolk Christian Service Agreement 2025-2026,CJBS_Billable Project Type,CJBS PU,0125-5925,Service Contract,0125-5925,Active,CONTRACTOR,"Seay, Kyle",91.35,Tridium,"255 Thole St. Norfolk, VA 23505",USD,CJBS
Richmond-C&J-Building Automation,DAVKEN MECHANICAL INC,2026-06-01,2028-02-01,ORF ConRAC,CJBS_Billable Project Type,CJBS PU,0126-7366,Renovation,0126-7366,Active,CONTRACTOR,"Martinez, Joseph",151.3,Schneider Electric,"2200 Norview Ave Norfolk, VA 23518",USD,CJBS
Richmond-C&J-Services,RANGE COMMERCIAL,2026-01-01,2027-03-01,OrthoVA Service Contract,CJBS_Billable Project Type,CJBS PU,0125-6019,Service Contract,0125-6019,Active,CONTRACTOR,"Halferty, April",87,Schneider,"15300 East West Road  Midlothian, VA 23114",USD,CJBS
Richmond-C&J-Services,COLLIERS INTERNATIONAL ASSET SERVICES LLC,2025-11-01,2026-12-01,PJP Service Agreement 25-26,CJBS_Billable Project Type,CJBS PU,0125-6216,Service Contract,0125-6216,Active,CONTRACTOR,"Seay, Kyle",87,Schneider,"600 Peter Jefferson Parkway Charlottesville, VA 22911",USD,CJBS
Richmond-C&J-Building Automation,EMC MECHANICAL SERVICES,2026-05-01,2027-11-01,Petersburg Courthouse,CJBS_Billable Project Type,CJBS PU,0126-6679,New Construction,0126-6679,Active,CONTRACTOR,"Flagg, Daniel",71.30856151,SE/SE,"Intersection of Monroe, E. Tabb, & Adams Streets Petersburg, VA 23803",USD,CJBS
Richmond-C&J-Services,POWHATAN COUNTY PUBLIC SCHOOLS,2026-02-01,2027-04-01,Powhatan HS Service Agreement,CJBS_Billable Project Type,CJBS PU,0126-6776,Service Contract,0126-6776,Active,CONTRACTOR,"Halferty, April",87,Schneider Tridium,"1800 Judes Ferry Rd Powhatan, VA 23139",USD,CJBS
Richmond-C&J-Services,ETEC,2026-05-01,2027-03-01,Premium Dist VAV Replace,CJBS_Billable Project Type,CJBS PU,0126-7183,Service Quoted,0126-7183,Active,CONTRACTOR,"Seay, Taylor",0,Others,"2290 Dabney Road  Richmond, VA 23230",USD,CJBS
Richmond-C&J-Building Automation,ICE HEATING & COOLING,2026-01-01,2027-03-01,Proctors Creek Admin and Control Buildings,CJBS_Billable Project Type,CJBS PU,0126-6719,Renovation,0126-6719,Active,CONTRACTOR,"Tees, Jason",56.48698011,Schneider Electric,"1200 Coxendale Road  Chester, VA 23836",USD,CJBS
Richmond-C&J-Building Automation,M&E CONTRACTORS,2025-02-01,2027-02-01,Project Rocky,CJBS_Billable Project Type,CJBS PU,0125-6138,New Construction,0125-6138,Active,CONTRACTOR,"Flagg, Daniel",51,Wiring Only,"1990 Ashland Rd  Rockville, VA 23146",USD,CJBS
Richmond-C&J-Building Automation,ATLANTIC CONSTRUCTORS INC,2026-05-01,2027-05-01,ROSENDIN Richmond Office,CJBS_Billable Project Type,CJBS PU,0126-7264,New Construction,0126-7264,Active,CONTRACTOR,"Suttles, Jonathan",62.3,SE/SE,"10383 LAKERIDGE PARKWAY HANOVER COUNTY, VIRGINIA 23005",USD,CJBS
Richmond-C&J-Building Automation,HARRIS HEATING & PLUMBING CO,2025-01-01,2027-01-22,Red River Food Group Reno,CJBS_Billable Project Type,CJBS PU,0125-6233,Renovation,0125-6233,Active,CONTRACTOR,"Suttles, Jonathan",63.99222399,Schneider ,"6207 Settler Road  Henrico, VA 23231",USD,CJBS
Richmond-C&J-Services,M&E CONTRACTORS,2025-12-01,2027-02-26,Region Ten Level Two Reno,CJBS_Billable Project Type,CJBS PU,0125-7054,Service Quoted,0125-7054,Active,CONTRACTOR,"Seay, Kyle",60,JCI - FX,"110 Avon Street  Charlottesville, Virginia 22902",USD,CJBS
Richmond-C&J-Services,M&E CONTRACTORS,2025-06-01,2027-01-08,Region Ten Office Reno,CJBS_Billable Project Type,CJBS PU,0125-6636,Service Quoted,0125-6636,Active,CONTRACTOR,"Seay, Kyle",141.809839,JCI FX,"110 Avon Street  Charlottesville, VA 22902, 2026/05/31",USD,CJBS
Richmond-C&J-Services,MARTIN HORN,2026-01-01,2026-11-01,Region Ten Thermostat Replacements,CJBS_Billable Project Type,CJBS PU,0126-7036,Service Quoted,0126-7036,Active,CONTRACTOR,"Seay, Kyle",87,JCI,"110 Avon St. Charlottesville, VA 22902",USD,CJBS
Richmond-C&J-Building Automation,OLD DOMINION MECHANICAL (C),2025-12-01,2027-08-01,Richmond Airport ARFF Station,CJBS_Billable Project Type,CJBS PU,0125-6631,New Construction,0125-6631,Active,CONTRACTOR,"Suttles, Jonathan",89,SE Tridium,,USD,CJBS
Richmond-C&J-Building Automation,MILLER MECHANICAL,2026-05-01,2027-01-01,Richmond National Westmark 4th Floor,CJBS_Billable Project Type,CJBS PU,0126-7332,Renovation,0126-7332,Active,CONTRACTOR,"Seay, Kyle",63.15789474,SE and Pnuematic,"11013 West Broad Street  Glen Allen, Virginia 23060",USD,CJBS
,GREEN AIR,2025-05-01,2027-01-01,Riverside Patriots Colony,CJBS_Billable Project Type,CJBS PU,0125-6122,,0125-6122,Active,CONTRACTOR,"Suttles, Jonathan",86.28017421,Schneider,"6000 Patriots Colony Drive  Williamsburg, VA 23188",USD,CJBS
Richmond-C&J-Services,STONEBRIDGE SCHOOL,2025-11-01,2026-12-01,Stonebridge School Service Agreement,CJBS_Billable Project Type,CJBS PU,0125-6158,Service Contract,0125-6158,Active,CONTRACTOR,"Halferty, April",87,Schneider,"1629 Joliff Road  Chesapeake, VA 23321",USD,CJBS
