Unnamed: 0,Transaction Type,Trx Date,Trx Number/ Cross Ref,Po Number,Customer Name (Only Bill to/ No Ship To),Customer Address,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Payment Term,Due Date,Unnamed: 14,Unnamed: 15,Invoice Amount,Unnamed: 17,Salesperson Name,Sales credit percentage,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,Type,Date,Num,P. O. #,Name,Name Address,Name Street1,Name Street2,Name City,Name State,Name Zip,Terms,Due Date,Class,Aging,Open Balance,S. O. #,,,,,Source Account #,Source Description,,,,Oracle BU,Oracle Branch,Oracle LOB,Oracle Dept,Oracle Account,Oracle IC Partner,Oracle Addback,Oracle Prod Line,Oracle Future,,Oracle GL String
,Invoice,2026-01-30 00:00:00,243618-1,690143,"MacDonald-Miller Facility Solutions, Inc.:MAC-SpaceX","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,1083.3,243618,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,243618-2,690143,"MacDonald-Miller Facility Solutions, Inc.:MAC-SpaceX","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,194.25,243618,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,243618-3,690143,"MacDonald-Miller Facility Solutions, Inc.:MAC-SpaceX","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,180,243618,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244324,687417,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,332,244324,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-02 00:00:00,244522,26023148,McKinstry Company:MCK-SEA06 Arbor Blocks,"PO Box 24406 Seattle, WA 98124 USA",PO Box 24406,,Seattle,WA,98124,Net 30,2026-03-04 00:00:00,Seattle,26,17,244522,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-02 00:00:00,244684,689862,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-04 00:00:00,Seattle,26,4300,244684,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-02 00:00:00,244325,26023024,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",PO Box 24406,,Seattle,WA,98124,Net 30,2026-03-04 00:00:00,Seattle,26,2610,244325,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-02 00:00:00,244749,689478,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-04 00:00:00,Seattle,26,2054.97,244749,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-02 00:00:00,244236-1,2201,Ocean Park Mechanical Inc:OCE-Seattle House Apartments,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",2428 King George Hwy  Suite102,,Surrey,BC,V4P 1H5,Net 30,2026-03-04 00:00:00,Seattle,26,700,244236,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-03 00:00:00,244236-2,2201,Ocean Park Mechanical Inc:OCE-Seattle House Apartments,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",2428 King George Hwy  Suite102,,Surrey,BC,V4P 1H5,Net 30,2026-03-05 00:00:00,Seattle,25,750,244236,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-03 00:00:00,243876,26008166,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",PO Box 24406,,Seattle,WA,98124,Net 30,2026-03-05 00:00:00,Seattle,25,3015,243876,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-04 00:00:00,244881,25-583-MT,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",430 SW 153rd St,,Burien,WA,98166,Net 30,2026-03-06 00:00:00,Seattle,24,1150,244881,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-04 00:00:00,245029,691371,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-06 00:00:00,Seattle,24,880,245029,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-04 00:00:00,243191,25350183,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",PO Box 24406,,Seattle,WA,98124,Net 30,2026-03-06 00:00:00,Seattle,24,4450,243191,,,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-04 00:00:00,245008,54353-9862,United Systems Mechanical Inc:USM-Small Projects,"1400 Airport Way S, Suite 202 Seattle, WA 98134 ","1400 Airport Way S, Suite 202",,Seattle,WA,98134,Net 30,2026-03-06 00:00:00,Seattle,24,72,245008,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-04 00:00:00,244927-1,po038288  16-25-29733,Hermanson Company:HER-Microsoft,"1221 2nd Ave N Kent, WA 98032 USA",1221 2nd Ave N,,Kent,WA,98032,Net 30,2026-03-06 00:00:00,Seattle,24,66.04,244927,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-04 00:00:00,244927,po038288  16-25-29733,Hermanson Company:HER-Microsoft,"1221 2nd Ave N Kent, WA 98032 USA",1221 2nd Ave N,,Kent,WA,98032,Net 30,2026-03-06 00:00:00,Seattle,24,978.18,244927,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-04 00:00:00,244914,690848,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-06 00:00:00,Seattle,24,156.88,244914,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-04 00:00:00,244899,60940673,Acco Engineered Systems (401856):ACC-ACCO Small Projects (401856),"C/o Dorse & Company 5000 1st Ave S Seattle, WA 98134",C/o Dorse & Company,5000 1st Ave S,Seattle,WA,98134,Net 30,2026-03-06 00:00:00,Seattle,24,18.42,244899,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-02-04 00:00:00,244900,60940776,Acco Engineered Systems (401856):ACC-ACCO Small Projects (401856),"C/o Dorse & Company 5000 1st Ave S Seattle, WA 98134",C/o Dorse & Company,5000 1st Ave S,Seattle,WA,98134,Net 30,2026-03-06 00:00:00,Seattle,24,55.18,244900,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
