PARTY_NAME,PARTY_NUMBER,PARTY_SITE_ID,SITE_USE_ID,SITE_USE_CODE,PARTY_ID,ACCOUNT_NUMBER,ACCOUNT_NAME,CUST_ACCOUNT_ID,ACCOUNT_STATUS,PARTY_SITE_NUMBER,PARTY_SITE_STATUS,START_DATE,END_DATE,PRIMARY_FLAG,BILL_TO_FLAG,SHIP_TO_FLAG,LOCATION,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,CITY,POSTAL_CODE,STATE,COUNTRY,row_number
INSIGHT PARTNERS,16302,100000046346086,100000046354387,BILL_TO,100000046341158,4038,INSIGHT PARTNERS,100000046349665,A,17007,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6074,1235 OLD ALPHARETTA RD,,,,ALPHARETTA,30005,GA,US,
BAKER DIST JACKSONVILLE FL,16303,100000046346489,100000046354091,BILL_TO,100000046341159,4420,BAKER DIST JACKSONVILLE FL,100000046350047,A,17410,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5778,PO BOX 2954,,,,JACKSONVILLE,32203-2954,FL,US,
BARTLETT CITY SCHOOLS,16304,100000046344765,100000046354146,BILL_TO,100000046341160,4970,BARTLETT CITY SCHOOLS,100000046350597,A,15686,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5833,5705 STAGE RD,,,,BARTLETT,38184,TN,US,
VINTAGE HEATING & AIR,16305,100000046345856,100000046354147,BILL_TO,100000046341161,4983,VINTAGE HEATING & AIR,100000046350610,A,16777,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5834,3377 HILL AVE,,,,TOLEDO,43607,OH,US,
FRENCH'S AIR CONDITIONING,16306,100000046345312,100000046354149,BILL_TO,100000046341162,4974,FRENCH'S AIR CONDITIONING,100000046350601,A,16233,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5836,3818 N 40TH ST,,,,TAMPA,33610,FL,US,
MOCK PLUMBING & MECH,16307,100000046344826,100000046353883,BILL_TO,100000046341163,4157,MOCK PLUMBING & MECH,100000046349784,A,15747,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5570,PO BOX 22456,,,,SAVANNAH,31403,GA,US,
ACY MECHANICAL LLC,16308,100000046346227,100000046354432,BILL_TO,100000046341164,4988,ACY MECHANICAL LLC,100000046350615,A,17148,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6119,PO BOX 724,,,,WINONA,38967,MS,US,
INDUSTRIAL AUTOMATION CONTROLS,16309,100000046345857,100000046353618,BILL_TO,100000046341165,4977,INDUSTRIAL AUTOMATION CONTROLS,100000046350604,A,16778,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5305,PO BOX 161296,,,,MEMPHIS,38186-1296,TN,US,
TOWNEPLACE SUITES VIDALIA,16310,100000046344773,100000046354151,BILL_TO,100000046341166,3885,TOWNEPLACE SUITES VIDALIA,100000046349512,A,15694,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5838,215 FRONT ST,,,,VADALIA,71373,LA,US,
RICHARDS HEATING & AIR,16311,100000046345066,100000046354705,BILL_TO,100000046341167,4649,RICHARDS HEATING & AIR,100000046350276,A,15987,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6392,5290 CRESTVIEW DR,,,,MEMPHIS,38134,TN,US,
ALL WEATHER ENTERPRISES,16312,100000046344774,100000046354478,BILL_TO,100000046341168,3617,ALL WEATHER ENTERPRISES,100000046349244,A,15695,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6165,30641 CENTER RIDGE RD,,,,WESTLAKE,44145,OH,US,
K & J HVAC DBA KEY HTG & CLG,16313,100000046344775,100000046354153,BILL_TO,100000046341169,5015,K & J HVAC DBA KEY HTG & CLG,100000046350642,A,15696,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5840,2309 INDUSTRIAL CT,,,,GREENBRIER,37073,TN,US,
FLUID FLOW PRODUCTS,16314,100000046344833,100000046355236,BILL_TO,100000046341170,5016,FLUID FLOW PRODUCTS,100000046350643,A,15754,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6923,3915 SHOPTON RD,,,,CHARLOTTE,28217,NC,US,
TJ SNOW COMPANY INC,16315,100000046344776,100000046353889,BILL_TO,100000046341171,5326,TJ SNOW COMPANY INC,100000046350953,A,15697,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5576,120 NOWLIN LN,,,,CHATTANOOGA,37421,TN,US,
TN AIR NATIONAL GUARD,16316,100000046344837,100000046354711,BILL_TO,100000046341172,5328,TN AIR NATIONAL GUARD,100000046350955,A,15758,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6398,164TH AIR LIFT WING,,,,MEMPHIS,38118,TN,US,
TATE COUNTY SCHOOL DISTRICT,16317,100000046346236,100000046354712,BILL_TO,100000046341173,4424,TATE COUNTY SCHOOL DISTRICT,100000046350051,A,17157,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6399,574 PKWY ST,,,,COLDWATER,38618,MS,US,
MOODY'S MECHANICAL HTG & AC,16318,100000046345629,100000046354484,BILL_TO,100000046341174,4656,MOODY'S MECHANICAL HTG & AC,100000046350283,A,16550,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6171,2310 HIGHMARKET ST,,,,GEORGETOWN,29442,SC,US,
KLIMA NEW YORK LLC,16319,100000046346244,100000046353626,BILL_TO,100000046341175,4167,KLIMA NEW YORK LLC,100000046349794,A,17165,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5313,41-45 39TH ST,,,,LONG ISLAND CITY,11104,NY,US,
PEADEN MECHANICAL,16320,100000046346246,100000046355242,BILL_TO,100000046341176,5332,PEADEN MECHANICAL,100000046350959,A,17167,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6929,243 HOLLYWOOD BLVD,,,,FT WALTON BEACH,32548,FL,US,
NEWLY WEDS FOODS,16321,100000046346248,100000046353627,BILL_TO,100000046341177,5334,NEWLY WEDS FOODS,100000046350961,A,17169,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5314,5980 HURT RD,,,,HORN LAKE,38637,MS,US,
STEEL-CON INC,16322,100000046345072,100000046355245,BILL_TO,100000046341178,5336,STEEL-CON INC,100000046350963,A,15993,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6932,808 HWY 15 N,,,,NEW ALBANY,38652,MS,US,
