Transaction Type,Trx Date,Trx Number/ Cross Ref,Po Number,Customer Name (Only Bill to/ No Ship To),Customer Address,Payment Term,Due Date,Invoice Amount,Salesperson Name,Sales credit percentage
Type,Date,Num,P. O. #,Name,Name Address,Terms,Due Date,Open Balance,,
Invoice,2026-01-17 00:00:00,243712-1,2187,Direct Mechanical Contractors:DIR-Habit Burger #547,"PO Box 872472 Vancouver, WA 98687 USA",Net 30,2026-02-16 00:00:00,290,House Account,1
Invoice,2026-01-17 00:00:00,243553,2333-20092,Ocean Park Mechanical Inc:OCE-1200 Stewart,"2428 King George Boulevard Surrey, BC V4P 1H5 CANADA",Net 30,2026-02-16 00:00:00,5700,House Account,1
Invoice,2026-01-17 00:00:00,244273,687617,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-16 00:00:00,929.99,House Account,1
Invoice,2026-01-17 00:00:00,244277,687617,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-16 00:00:00,750,House Account,1
Invoice,2026-01-18 00:00:00,243628,2201,Ocean Park Mechanical Inc:OCE-Seattle House Apartments,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-02-17 00:00:00,645,House Account,1
Invoice,2026-01-19 00:00:00,244162,70870899,Acco Engineered Systems (401856):ACC-ACCO Small Projects (401856),"C/o Dorse & Company 5000 1st Ave S Seattle, WA 98134",Net 30,2026-02-18 00:00:00,62.72,House Account,1
Invoice,2026-01-19 00:00:00,244159,687071,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-18 00:00:00,119.87,House Account,1
Invoice,2026-01-19 00:00:00,244267,687504,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-18 00:00:00,68,House Account,1
Invoice,2026-01-19 00:00:00,244266,687503,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-18 00:00:00,331.84,House Account,1
Invoice,2026-01-19 00:00:00,244201,2333-2720,Ocean Park Mechanical Inc:OCE-1200 Stewart,"2428 King George Boulevard Surrey, BC V4P 1H5 CANADA",Net 30,2026-02-18 00:00:00,465.12,House Account,1
Invoice,2026-01-19 00:00:00,243966,686012,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-18 00:00:00,1558.24,House Account,1
Invoice,2026-01-20 00:00:00,244202,2333-2740,Ocean Park Mechanical Inc:OCE-1200 Stewart,"2428 King George Boulevard Surrey, BC V4P 1H5 CANADA",Net 30,2026-02-19 00:00:00,840,House Account,1
Invoice,2026-01-20 00:00:00,244347,305415,Vital Mechanical Service:Vit-Vital Mechanical Special Projects,"1420 Maple Ave SW Renton, WA 98057 USA",Net 30,2026-02-19 00:00:00,737.2,House Account,1
Invoice,2026-01-20 00:00:00,244023,686330,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-19 00:00:00,2440.26,House Account,1
Invoice,2026-01-20 00:00:00,244250,687087,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-19 00:00:00,1615,House Account,1
